1 4	1 Abortus
721 0	781 "Ulykkestilfælde ved overkørsel"
722 0	782 "*kan ikke læses"
723 0	783 "Abscessus cerebri"
724 0	784 "Abscessus thoracis"
725 0	785 "Aneurysma  (Aneurisme)"
726 0	786 "Basedow´s sygdom  (Morbus Basedow)"
727 0	787 Benedder
728 0	788 "Blodstyrtning og diarré"
729 0	789 Bronchialkatarrh
730 0	790 "Bronchitis in rachitis"
731 0	791 "Bronchitis purulenta"
732 0	792 Brysttilfælde
733 0	793 "Cancer hepatis et renis sin."
734 0	794 "Cancer vesicae felleae et hepatis"
735 0	795 "Colica abdominalis"
736 0	796 "Colitis haemorrhagica acuta"
737 0	797 "Emollitio cerebri senilis"
738 0	798 "Emphysema (Emphysem, Emfysem)"
739 0	799 Fatuitas
740 0	800 "Formentlig pludselig Død"
741 0	801 "Fractura colli"
742 0	802 "Frakturer af Ribben og Underarm"
743 0	803 "Gangraena pedum"
744 0	804 "Haemorrhagia gastrointestinalis"
745 0	805 Hjertelammelse
746 0	806 "Catarrh (Katarrh)"
747 0	808 "Ikke oplyst (ingen dødsårsag angivet)"
748 0	809 "Krampe under Fødslen"
749 0	810 "Kvælning ved Kuldamp"
750 0	811 Kyphoscoliosis
751 0	812 Lamhed
752 0	813 "Lithotomia (Litotomia)"
753 0	814 Lungeabscesser
754 0	815 "Læsioner af indvendige Organer"
755 221	816 "Mangelfuld Udvikling"
756 9	817 "Medfødt syfilis"
757 50	818 "Meget for tidligt født"
758 3	819 "Meningitis cerebrospinalis"
759 2	820 "Oedemata (Ødemata)"
760 1	821 Osteomyelitis
761 4	822 "Paedatrophia  (Pædatrofia)"
762 70	823 "Peritonitis acuta"
763 6	824 "Peritonitis e ulcere duodeni perforati"
764 12	825 "Pneumonia dext."
765 69	826 Puerperalfeber
766 17	827 Puerperalpsykose
767 1	828 Scirrhus
768 83	829 "Selvmord ved at lade sig overkøre af Toget"
769 2	830 "Selvmord ved Belysningsgas (Lysgas)"
770 8	831 Senectus
771 37	832 "Sequelae fracturae colli femoris"
772 12	833 "Spastisk spinalparalyse"
773 20	834 "Status puerperalis"
774 1	835 "Struma permagna"
775 7	836 "Stærke Contusioner af Hoved, Bryst og Underliv"
776 21	837 "Svag fra Fødslen"
777 26	838 "Tegn paa Læsion af Hjernen"
778 68	839 Tumor
779 46	840 "Tumor cerebelli"
780 143	841 "Tumor hepatis"
781 25	843 "*skal slettes"
782 131	845 "Anaemia acuta (Akut anæmi)"
783 28	847 "Arthritis deformans"
784 1	848 "Atelectasis (Atelektasis)"
785 0	849 Bronchialasthma
786 55	850 "Bronchitis (Slim i Lungerne)"
787 7	851 "Cancer abdominis (hepatis)"
788 0	852 "Cancer mammae c. metastatibus abdominis"
789 6	853 "Cancer palati"
790 0	854 "Catarrhus gastrointestinalis acutus infectiosus"
791 103	855 "Colitis ulcerativa"
792 12	856 "Contusio coxae"
793 1	857 "Dentitio (Dentition)"
794 2	858 "Dentitio difficilis"
795 0	859 Drikfældighed
796 1	860 "Engelsk Syge"
797 4	861 "Enterocatarrhus (Enterokatar)"
798 298	862 Familiesorger
799 2	863 Fibromata
800 0	864 "Karbolsyreforgiftning (Forgiftning ved Carbolsyre)"
801 26	865 "Fractura colli femoris sin."
802 1	866 "Gangraena cutis"
803 8	867 "Gangraena pedis"
804 1	868 Gigt
805 0	869 Hemiplegia
806 175	870 "Hemiplegia sinistra (Hemiplegia sin.)"
807 0	871 "Hyperaemia (Hyperæmi)"
808 76	872 "Død uden lægetilsyn (Ingen læge tilkaldt) "
809 5	873 "Kræft i Livmoderen"
810 4	874 "Leukaemia acuta"
811 27	875 Lungesygdom
812 3	876 "Mangelfuld levedygtighed (Mangel på levedygtighed)"
813 1	877 "Meningitis purulenta"
814 2	878 Misdannelse
815 2	879 "Morbus organicus"
816 7	880 "Nephritis granularis"
817 30	881 "Osteomyelitis femoris"
818 12	882 "Otitis media duplex"
819 56	883 Overnervøsitet
820 33	884 "Pancreatitis haemorrhagica"
821 18	885 Pectoralia
822 5	886 "Peritonitis acuta post operationem ilei chron. et appendicitide chr."
823 17	887 "Phlebitis cruris et femoris"
824 1	888 "Pludselig død uden foregående sygdom"
825 72	889 "Pneumonia dupl. post influenza"
826 8	890 "Pyaemia puerperalis (Pyaemia in puerperio)"
827 1	891 Pyopneumothorax
828 15	892 "Rheumatisk Anfald"
829 3	894 "Sarcoma (Sarkoma)"
830 3	895 "Sarcoma colli"
831 9	896 "Septichopyaemia (Septicopyæmi)"
832 4	897 "Sequelae ulceris ventriculi perfor."
833 1	898 Sygdom
834 1	899 "Syphilis III"
835 3	900 Tarmkræft
836 1	901 "Tuberculosis urogenitalis "
837 21	902 "Uenighed i Hjemmet"
838 1	903 "Ulcus duodeni"
839 40	904 "Ulykkelige familieforhold"
840 4	905 Underlivssvulst
841 47	906 "Ægteskabelig sorg"
842 0	907 Abort
843 0	908 "Kan kun oplyses ved obduktion"
844 0	909 "Adenitis colli"
845 13	910 "Adenitis colli suppurativa"
846 0	911 "Anaemia permagna (Anæmia permagna)"
847 45	912 "Angina "
848 0	913 Arbejdsløshed
849 176	914 "Atrophia muscularis"
850 2	915 "Besværlig fødsel (besværlig forløsning)"
851 8	916 "Bronchitis acuta in emphysema pulm."
852 1	917 "Bronchopneumonia sin."
853 0	918 "Cancer colli"
854 5	919 "Cancer pulmon. p. cancrum mammae"
855 5	920 "Cancer uteri et vaginae"
856 3	921 "Catarrhus intestinalis acutus post morbilli (Cat. intestin. acut. post morbilli)"
857 17	922 "Kronisk brystkatar"
858 0	923 "Coma uraemicum"
859 43	924 "Contusion af Underlivets Organer"
860 33	925 "Cystitis chron."
861 136	926 "Deformatio canalis intestinalis (Deformatio canal. intestin.)"
862 3	927 "Delirium inanitionis (Delir. inanitionis)"
863 0	928 "Diphteria (Diphteritis) faucium et laryngis"
864 15	929 "Dobbelt Brok"
865 3	930 "Eclampsia infantilis"
866 3	931 "Eclampsia uraemica "
867 44	932 "En Absces ved Endetarmen"
868 0	933 "Formentlig Hjertelammelse"
869 50	934 "Gangraena extremitatum inferiorum (Gangraena extr. inferior.)"
870 9	935 "Gigtfeber med cerebralia"
871 14	936 "Hernia "
872 17	937 Hydronephrosis
873 24	938 "Hyperaemia cerebri"
874 7	939 Jernbaneoverkjørsel
875 39	940 "Katarrhalsk Diarrhoe"
876 15	941 "Livssvag fra Fødslen"
877 11	942 Lues
878 9	943 Lungeemboli
879 1	944 Lungeembolier
880 5	945 "Mor og barn død under fødslen"
881 5	946 "Myxoedema (Myksødem)"
882 3	947 "Nephritis chron. granularis"
883 1	948 Obstipation
884 2	949 "Osteomyelitis tibiae"
885 30	950 Pachymeningitis
886 1	951 "Pachymeningitis haemorrhagica"
887 2	952 Parametritis
888 23	953 "Paraplegia spastica"
889 1	954 "Phlebitis puerperalis"
890 11	955 "Phthisis pulm. cavernosa (Phthisis cavernosa pulm. )"
891 20	956 "Pneumonia acuta"
892 1	957 "Pneumonia sinistra (Pneumonia sin.)"
893 0	958 "Progressiv Muskelatrofi"
894 28	959 "Ruptura tentorii (Rupt. tent.)"
895 13	960 "Rupt. tent. duplex"
896 15	961 "Sarcoma femoris"
897 1	962 "Scirrhus mammae"
898 18	963 "Scirrhus mammae et abdominis"
899 7	964 "Skudsår med kompliceret brud af kraniet og hjernekontusion"
900 11	965 "Spasmus glottidis"
901 9	966 "Svaghed efter Fødslen"
902 1	967 Tracheobronchitis
903 9	968 "Tuberculosis pulmonum et intestini (Tub. pulm. et intestin.)"
904 6	969 "Tuberculosis pulmonum et renis  (Tub. pulm. et renis)"
905 15	970 "Tuberculosis pulmonum et renis et intestini (Tub. pulm. et renis et intestin.)"
906 1	971 "Tumor lienis"
907 598	973 "Acut miliær Tuberculose "
908 0	974 "Acut Tarmcatarrh"
909 3	975 "Alienatio mentis"
910 1	976 Angiocholitis
911 0	977 "Appendicitis perforativa gangraenosa"
912 43	978 "Bronchitis foetida"
913 7	979 "Cancer axillae"
914 1	980 "Cancer faciei"
915 13	981 "Cancer oesophagi et tracheae"
916 0	982 "Cancer peritonei"
917 20	983 "Catarrhus intestinalis congenitus"
918 17	984 "Kronisk rygmarvsbetændelse"
919 1	985 "Kronisk tarmkatar"
920 14	986 "Cystoma ovarii"
921 0	987 "Decubitus gangraenosus"
922 21	988 "Dissemineret sclerose"
923 2	989 "Død efter operation"
924 2	990 "Eclampsia in puerperio"
925 40	991 "Emphysema pulmonum (Emphysema pulm.)"
926 0	992 "Endocarditis rheumatica"
927 2	993 "Enteritis chronica"
928 10	994 "Formentlig ihjelfrossen"
929 1	995 "Fractura femoris"
930 20	997 Hjerteparalyse
931 0	998 "Knusning af Brystkassen"
932 2	999 Lungeblodpest
933 2	1000 "Morbus cordis mitralis"
934 7	1001 Myxosarcoma
935 1	1002 "Myxosarcoma sin."
936 34	1003 "Nephritis in puerperio"
937 9	1004 Nervesvækkelse
938 15	1005 "Oedema (Ødema)"
939 3	1006 "Peritonitis chronica"
940 1	1007 "Peritonitis tuberculosa"
941 141	1008 "Phthisis duplex"
942 51	1009 "Polyarthritis rheumatica"
943 7	1010 "Sclerosis in plaques "
944 1	1011 "Sepsis acuta"
945 16	1012 "Tumor renis"
946 2	1013 "Ubekjendt, ikke egentlig syg"
947 2	1014 "Ukendt, formentlig alkoholisme"
948 1	1015 "Acut Enteritis"
949 1	1016 Blyforgiftning
950 19	1017 "Brud af Hvirvelsøjlen"
951 6	1018 "Cancer cardiae"
952 9	1019 "Cancer maxillae"
953 1	1020 Dannelsesfejl
954 2	1021 "Delirium tremens protractum (D. t. protract.)"
955 21	1022 "Eclampsia infantum"
956 15	1023 Endetarmskræft
957 46	1024 "Forulykket ved Drukning (Robaad)"
958 3	1025 "Funden overkørt af en sporvogn"
959 0	1026 "Haemorrhagia cerebelli (Hæmorrhagia cerebelli)"
960 0	1027 "Måske ved et fald"
961 10	1028 Miseries
962 8	1029 "Nedstyrtning ved Ulykkestilfælde"
963 1	1030 "Paralysis agitans"
964 1	1031 "Peritonitis post perforationem traumaticam intestini"
965 19	1032 "Peritonitis purulenta"
966 2	1033 "Pneumonia crouposa lobaris inferior duplex"
967 10	1034 "Pneumonia lobularis"
968 88	1035 "Pyonephrosis calculosa"
969 0	1036 "Ruptura vesicae"
970 5	1037 Tabes
971 13	1038 "Ulcus duodeni perforatum"
972 0	1039 Varicella
973 23	1040 "Abscessus ovarii"
974 0	1041 "Acut Gastroenteritis"
975 20	1042 "Acut Hjernebetændelse i chronisk Hjernesygdom"
976 4	1043 "Acut Lungeødem i senil Hjertesygdom"
977 2	1044 "Akut febril Sygdom med cerebrale Symptomer men ubekendt Natur"
978 11	1045 "Anaemia chron."
979 0	1046 "Aneurysma cordis"
980 19	1047 "Appendicitis chron."
981 2	1048 "Arteriosclerosis cordis"
982 26	1049 "Betændelse af Rygraden"
983 1	1050 Blodmangel
984 0	1051 "Bronchitis chronica purulenta"
985 28	1052 "Bronchitis diffusa in Influenza"
986 4	1053 "Bronchopneumonia chron."
987 15	1054 "Bronchopneumonia crouposa"
988 1	1055 "Brud paa Basis af Craniet"
989 0	1056 "Fraktur (brud) af kraniet"
990 4	1057 "Cancer faciei et colli"
991 296	1058 "Cancer faucium"
992 1	1059 "Cancer hepatis et ventriculi"
993 48	1060 "Cancer ileocoecalis"
994 0	1061 "Cancer mandibulae"
995 21	1062 "Cancer pleurae et hepatis"
996 0	1063 "Cancer pylori"
997 18	1064 "Cancer renis et vesicae"
998 4	1065 "Cancer retroperitonealis"
999 1	1066 "Cancer universalis"
1000 17	1067 "Cancer vaginae. Recidiv"
1001 0	1068 "Cancer vesicae"
1002 1	1069 "Capillær Brystcatarrh (Cap. Brystcat.)"
1003 3	1070 "Carcinoma mammae"
1004 7	1071 "Carcinoma ventriculi (Carcinoma ventr.)"
1005 52	1072 "Catarrhalia (Katarrhalia)"
1006 13	1073 "Catarrhalsk Lungebetændelse  (Katarrhalsk Lungebetændelse)"
1007 19	1074 "Catarrhus ventriculi med Hjertelammelse"
1008 8	1075 "Cerebralis acuta in marasmus senilis"
1009 2	1076 Chorea
1010 3	1077 "Kronisk blæresygdom"
1011 1	1078 "Chronisk Gigttilfælde med Betændelse af Hjertesækken"
1012 4	1079 "Chronisk Hjernesygdom"
1013 0	1080 "Chronisk Hvirvelsøjlelidelse"
1014 3	1081 "Kronisk karsygdom"
1015 7	1082 "Kronisk lungelidelse"
1016 2	1083 "Chronisk Nyre og Hjertesygdom"
1017 5	1084 "Kronisk underlivssygdom"
1018 19	1085 "Compressio medullae spinalis"
1019 4	1086 "Confusio mentis"
1020 4	1087 Cystopyelonephritis
1021 2	1088 Degeneratio
1022 18	1089 Dementia
1023 3	1090 "Diagnosis incerta"
1024 4	1091 "Død uden lægebehandling (død uden lægehjælp)"
1025 1	1092 "Eczema malignum"
1026 18	1093 "Embolia in puerperio"
1027 1	1094 "Empyema pleurae"
1028 27	1095 "Endocarditis chr."
1029 26	1096 "Endocarditis mitralis"
1030 53	1097 "Epilepsia tardiva"
1031 2	1098 "Erysipelas faciei"
1032 0	1099 "Et Spark af en Hest"
1033 18	1100 "Faldt om i krampe"
1034 43	1101 Fibrosarcoma
1035 1	1102 "Formentlig Drukning ved Ulykkestilfælde"
1036 2	1103 "Formentlig Krampe"
1037 0	1104 "Formentlig Lungesvindsot"
1038 27	1105 "Forsnævring af Spiserør og Mave"
1039 12	1106 Forstoppelse
1040 1	1107 "Forulykket ved Drukning"
1041 23	1108 Fractura
1042 0	1109 "Fractura pelvis"
1043 4	1110 "Fundet bevidstløs"
1044 1	1111 "Fundet død i sengen"
1045 4	1112 "Følger af vanskelig fødsel"
1046 5	1113 "Følger af et fald"
1047 0	1114 Galdevejssygdom
1048 34	1115 "Hernia incarcerata gangraenosa"
1049 2	1116 "Hjernelidelse (Svulst)"
1050 5	1117 Hjernerystelse
1051 10	1118 "Hudsygdom (Chronisk Eksem)"
1052 0	1119 "Huslige Sorger"
1053 14	1120 "Hydrocele testis"
1054 38	1121 "Hydrocephalus chr."
1055 2	1122 Hydrops
1056 5	1123 "Hypertrophia prostatae operata"
1057 0	1124 "Hypertrophia thymi"
1058 4	1125 "Hypostasis pulmonum"
1059 16	1126 "Hypostatisk Pneumoni"
1060 2	1127 "Højresidig Lungebetændelse"
1061 1	1128 "Indvendig Forblødning"
1062 2	1129 "Infarctus pulmonum (Infarct. pulm)"
1063 37	1130 "Influenza cum Pneumonia"
1064 1	1131 "Invaginatio ileocoecalis"
1065 3	1132 "Invaginatio intestin."
1066 3	1133 "Invaginatio intest. ilei "
1067 1	1134 "Inversio uteri"
1068 40	1135 "Koldbrand i benet"
1069 7	1136 "Kræft i Mave og Spiserør"
1070 6	1137 Kærestesorg
1071 18	1138 "Laryngospasmus in rachitis"
1072 4	1139 "Leptomeningitis haemorrhagica"
1073 28	1140 "Absces i leveren (Leverabsces)"
1074 1	1141 Levercirrhose
1075 1	1142 "Lobulær Pneumoni"
1076 3	1143 Lymphangitis
1077 11	1144 Maveblødning
1078 1	1145 "Medfødt Hjertesygdom"
1079 60	1146 "Melancholia (Melankoli)"
1080 1	1147 "Meningitis basilaris tuberculosa"
1081 3	1148 "Meningitis pneumococcica"
1082 8	1149 "Misdannelse af Fosteret"
1083 11	1150 "Morbus hepatis (Mb. hepatis)"
1084 21	1151 "Morbus maculosus (Mb. maculosus)"
1085 1	1152 "Myelitis acuta"
1086 6	1153 "Måske sindssyge"
1087 67	1154 "Næse-Svælgrums Fibrosarkoma"
1088 24	1155 "Operation for Galdesten"
1089 24	1156 "Opkastning og diarré"
1090 7	1157 "Osteitis femoris (Ostitis femoris)"
1091 271	1158 "Pancreatitis suppurativa (Pancreatitis supp.)"
1092 1	1159 "Peritonitis diffusa e perforatione"
1093 6	1160 "Peritonitis diffusa e perforatione intestin. renis"
1094 35	1162 "Phlegmone brachii"
1095 0	1163 "Phthisis laryngis et pulm."
1096 7	1164 "Phthisis pulmonum et laryngis"
1097 1	1165 "Phthisis pulmonum tuberculosa  (Phthisis pulm. tuberc.)"
1098 34	1166 "Pleuritis carcinomatosis"
1099 1	1167 "Pleuritis purulenta chron."
1100 0	1168 "Pludselige Kramper"
1101 1	1169 "Pneumonia catarrhalis duplex "
1102 27	1170 "Pneumonia chronica (Pneumonia chr.)"
1103 16	1171 "Polyneuritis multiplex"
1104 1	1172 "Pseudoleuchaemia (Pseudoleukaemia)"
1105 0	1173 "Purulent Bronchitis"
1106 3	1174 Ribben-Bækkenbrud
1107 2	1175 "Sarcoma pulmon. dext."
1108 18	1176 "Scirrhus ventriculi"
1109 6	1177 "Selvmord ved drukning"
1110 0	1178 "Selvmord ved Skud i Underlivet"
1111 18	1179 Senilia
1112 1	1180 "Sequelae apoplexiae (Seq. apoplexiae, Apoplexia sequelae)"
1113 7	1181 "Sequelae tuberculosis renum"
1114 1	1182 "Skindød ved Fødslen"
1115 0	1183 "Stenosis colli"
1116 5	1184 "Strictura recti"
1117 16	1185 Tarm-Blærephistel
1118 1	1186 "Tarmkatar med krampe"
1119 13	1187 "Tuberculosis intestini"
1120 0	1188 "Tuberculosis renum et intestin."
1121 11	1189 "Tumor coli sigmoidei"
1122 48	1190 "Ukendt, formentlig drukning"
1123 1	1191 "Ubekjendt Infektion med afsluttende Pneumonia"
1124 2	1192 "Ufuldbåren (Ufuldbårenhed)"
1125 12	1193 "Ulcus chronicus (Ulcus chron.)"
1126 8	1194 Underlivstuberkulose
1127 3	1195 Volvulus
1128 9	1196 "Økonomisk bekymring"
1129 37	1197 Salpingitis
1130 9	1198 Hydrothorax
1131 8	1199 "Phlebitis umbilicalis"
1132 9	1200 "Skudt sig i Hovedet"
1133 2	1201 "Abscessus hepatis"
1134 2	1202 "Asphyxia congenita"
1135 2	1203 "Asthma nervosum (Asthma nervos.)"
1136 1	1204 "Betændelse i Bækkenet"
1137 4	1205 "Brud af Bækkenet"
1138 4	1206 "Brud af Halsen ved Nedstyrtning"
1139 2	1207 "Calculus vesicae"
1140 3	1208 "Cancer columnae"
1141 9	1209 "Cancer intestini recti"
1142 2	1210 "Carcinoma coeci"
1143 5	1211 "Cholecystitis calculosa"
1144 1	1212 "Chronisk Lungesygdom"
1145 3	1213 "Chronisk organisk Hjertesygdom (Chr. org. Hjertesygdom)"
1146 45	1214 "Compressio myelitis"
1147 2	1215 "Delirium tremens grave"
1148 1	1216 "Diabetes med cerebralia"
1149 1	1217 "Diagnosis ignota"
1150 36	1218 "Dilatatio cordis"
1151 5	1219 "Diphteria crouposa (Diphteria croup.)"
1152 7	1220 "Empyema pulm."
1153 2	1221 "Enteritis follicularis"
1154 1	1222 "Intoxicatio acuta (Kulos)"
1155 1	1223 "Mulig bronchopneumonia"
1156 6	1224 "Osteomyelitis mandibularis"
1157 6	1225 "Overkørsel  (overkørt)"
1158 0	1226 "Peritonitis post laparotomiam"
1159 3	1227 "Pneumonia hypostatica duplex"
1160 1	1228 "Sequelae emboliae cerebri"
1161 0	1229 "Sequelae fracturae pelvis"
1162 4	1230 Skindød
1163 0	1231 "Spondylitis cervicalis"
1164 11	1232 Svækkelse
1165 23	1233 "Abscessus ad anum"
1166 1	1234 "Apoplexia cerebri post Influenza"
1167 1	1236 "Bronchitis fibrinosa"
1168 0	1237 "Bækkenbrud med Læsion af Pleura og Lunge"
1169 26	1238 "Død under Krampe"
1170 57	1239 "Forfalden til Drik"
1171 1	1240 "Formentlig capillær Bronchitis"
1172 9	1241 "Formentlig Selvmord ved Skydning"
1173 0	1242 "Gangraena extrem. inf. dupl."
1174 3	1243 "Gangraena extrem. inf. sin."
1175 1	1244 "Gangraena pulmonum dext."
1176 31	1245 "Kræft i Brystkirtlen"
1177 26	1246 Livslede
1178 0	1247 "Nephritis in Influenza"
1179 624	1248 Tarmtilfælde
1180 24	1249 "Tumor pharyngis"
1181 1	1250 Albuminuria
1182 3	1251 "Anaemia perniciosa post Influenza"
1183 0	1252 "Debilitas senilis febriculosa  (Debilitas senilis febr.)"
1184 9	1253 "Drukning ved Ulykkestilfælde"
1185 1	1254 "Endocarditis infectiosa"
1186 1	1255 "Fractura columnae cervicalis"
1187 10	1256 "Glycosuria (Glykosuri)"
1188 1	1257 Hjernetilfælde
1189 1	1258 "Melanosarcoma colli"
1190 2	1259 "Metastases ad pulmones (Metastases ad pulm.)"
1191 1	1260 "Paralysis intestini post laparotomiam"
1192 49	1261 "Skud i Hjerteregionen"
1193 2	1262 "Stenosis oesophagi congenita"
1194 2	1263 "Tuberculosis genus"
1195 15	1264 "Tuberculosis osteitis"
1196 7	1265 "Ulcus gangraenosum ped. (Ulcus gangræn. ped.)"
1197 22	1266 "Vulnus sclopetarium pedis"
1198 6	1267 Aneuri
1199 3	1268 Aneurismeruptur
1200 1	1269 "Angina gangraenosa"
1201 18	1270 Aortitis
1202 1	1271 "Arthritis tuberculosa genus"
1203 2	1272 "Atelectasis partialis pulmonum (Atelectasis part. pulm.)"
1204 1	1273 "Atrophia neonatorum (Atrophia neonat.)"
1205 2	1274 "Bronchitis acuta universalis"
1206 1	1275 "Bronchitis capillaris in Rachitis"
1207 21	1276 "Bronchopneumonia in morbilli"
1208 8	1277 "Bronchopneumonia in tussis convulsiva"
1209 4	1278 "Cachexia in cancro abdominis"
1210 1	1279 "Cancer coli (Tyktarmskræft)"
1211 1	1280 "Cancer cordis"
1212 64	1281 "Cancer nasopharyngis"
1213 9	1282 "Cancer recti et vaginae"
1214 1	1283 "Cancer vaginae"
1215 2	1284 "Cancer vulvae et perinei"
1216 2	1285 "Catarrhus ventriculi (Cat. ventr.)"
1217 2	1286 Cerebralia
1218 13	1287 "Cholangitis chron."
1219 8	1288 "Cholera nostras"
1220 13	1289 "Chorea gravis"
1221 0	1290 "Kronisk lungetuberkulose"
1222 13	1291 "Kronisk nyrebetændelse"
1223 1	1292 "Kronisk tarmsygdom"
1224 1	1293 "Chronisk Ventrikelcatarrh (Chr. Ventr. Cat.)"
1225 34	1294 "Collapsus in delir. trementis"
1226 0	1295 "Contusion af Hovedet"
1227 11	1296 "Coprostasis (Koprostasis)"
1228 1	1297 "Diarrhoea chronica (Kronisk diarré)"
1229 1	1298 "Diphteria (Diphteritis) faucium "
1230 3	1299 "Drukning ved badning (Druknet under badning)"
1231 0	1300 Drik
1232 7	1301 "Død i beruset Tilstand"
1233 1	1302 "Eczema universalis"
1234 1	1303 "Embolia arteriae pulmonalis in appendicitide"
1235 0	1304 "Febris continua (Fb. cont.)"
1236 0	1305 Forblødning
1237 2	1306 "Fractura colli femoris sin. Sequelae"
1238 4	1307 "Fractura columnae cervicalis. Sequelae"
1239 1	1308 "Fractura humeri"
1240 2	1309 "Funden i en Latrinkule på Roskildevejen"
1241 0	1310 "Følger af apoplexia cerebri (Følger af hjerneapopleksi)"
1242 3	1311 "Gangraena ilei"
1243 4	1312 "Gangraena pharyngis"
1244 4	1313 "Haematuria (Hæmaturia)"
1245 5	1314 "Har slugt for meget Fostervand"
1246 0	1315 "Hjerne- og Rygmarvssygdom"
1247 24	1316 Hjernesygdom
1248 1	1317 "Hjerteslag efter Influenza"
1249 1	1318 Hofteledsbetændelse
1250 75	1319 "Hæmorrhagisk Diarre"
1251 0	1320 "Ingen iagttaget Sygdom"
1252 2	1321 "Insufficientia valvulae mitralis (Insuff. v. mitralis)"
1253 74	1322 "Kan ikke oplyses"
1254 2	1323 "Kollaps (Collaps)"
1255 1	1324 Krampeanfald
1256 2	1326 "Marasmus (Marasme)"
1257 39	1327 "Metastases (Metastaser)"
1258 1	1328 "Morbilli sequelae"
1259 3	1329 "Morbus abdominis chronicus (Mb. abdom. chron.)"
1260 1	1330 "Morbus cerebri acutus"
1261 0	1331 "Morbus cordis congenitus lueticus"
1262 1	1332 "Morbus cordis in febri rheumatica"
1263 3	1333 "Myelopathia chron."
1264 1	1334 Obesitas
1265 2	1335 "Obs. for syphilis congenita"
1266 1	1336 "Paralysis cordis post laparotomiam (tumoris ovarii)"
1267 2	1337 "Periphlebitis puerper."
1268 2	1338 "Phlebitis cruris"
1269 2	1339 "Pleuropneumonia dext."
1270 2	1340 "Pneumonia crouposa sin."
1271 5	1341 Pseudocroup
1272 2	1342 "Pyarthrosis genus"
1273 9	1343 "Ruptur af Ovariecyste"
1274 1	1344 "Ruptura uteri in partu"
1275 7	1345 "Sarcoma hepatis"
1276 22	1346 "Sarcoma mammae"
1277 29	1347 "Selvmord ved skud"
1278 1	1348 "Septisk endocarditis"
1279 6	1349 "Sequelae asphyxiae"
1280 10	1350 "Sequelae empyemae pleurae"
1281 1	1351 "Stasis pulmonum"
1282 2	1352 "Stridor laryngis"
1283 8	1353 Suspensio
1284 1	1354 "Tuberculosis miliaris in meningitis"
1285 28	1355 "Tumor intrauterinus"
1286 50	1356 "Tumor medullae spinalis"
1287 2	1357 "Tumor uteri"
1288 26	1358 "Ulcus cruris "
1289 1	1359 "Ulcus cruris dext."
1290 4	1360 "Ulykkestilfælde ved Løbskkørsel"
1291 39	1361 "Volvulus post laparotomiam"
1292 3	1362 "Angina tonsillaris"
1293 7	1363 "Arbejdsløshed og Nød"
1294 2	1364 Arsenikforgiftning
1295 2	1365 "Arthritis urica"
1296 4	1366 Blæresten
1297 38	1367 "Brud af Kraniet, sandsynligvis ved et Fald"
1298 81	1368 "Cancer pleurae"
1299 12	1369 "Chronisk Gigt"
1300 8	1370 "Debilitas universalis"
1301 11	1371 "Degeneratio (cordis) myocardii"
1302 4	1372 "Empyema duplex"
1303 1	1373 "Endocarditis maligna"
1304 15	1375 "Idiotia (Idiotisme, Idioti)"
1305 8	1376 Ihjelliggen
1306 0	1377 "Indbragt moribund"
1307 1	1378 "Lunge- og nyreinflammation"
1308 4	1379 "Mavekatar (Mavecatarrh)"
1309 0	1380 "Morbus Addisoni"
1310 2	1381 "Morbus mentalis chron."
1311 1	1382 "Osteitis (ostitis)"
1312 1	1383 "Otitis media purulenta acuta"
1313 13	1384 "Paralysis spastica"
1314 1	1385 "Pludselig Død med Krampeanfald"
1315 4	1386 "Pneumonia crouposa dextr."
1316 72	1387 Prostatitis
1317 1	1388 "Pyarthrosis "
1318 3	1389 "Stenosis laryngis"
1319 2	1390 "Stenosis pylori  (Pylorostenosis)"
1320 1	1391 Svaghed
1321 4	1392 "Tuberculosis miliaris universalis"
1322 14	1393 "Tuberculosis pelvis"
1323 10	1394 "Tuberculosis pulmonum et pericardii "
1324 5	1395 "Ulykkestilfælde slugt Sutten til sin Flaske"
1325 0	1396 "Amputatio (Amputation)"
1326 57	1397 "Atelectasis neonatorum"
1327 15	1398 "Cancer mammae sin."
1328 5	1399 "Catarrhus gastrointestinalis subacutus"
1329 6	1400 "Contusiones variae"
1330 4	1401 "Debilitas cordis"
1331 1	1402 "Degeneratio cordis senilis"
1332 1	1403 Forgiftning?
1333 16	1404 Furunculosis
1334 4	1405 "Gangraena senilis pedis"
1335 2	1406 Gulsot
1336 1	1407 "Indbragt bevidstløs"
1337 1	1408 "Ingen lægebehandling"
1338 8	1409 "Labium leporinum"
1339 12	1410 Laparotomia
1340 17	1411 "Lungeemphysem (Lungeemfysem)"
1341 2	1412 Mellemørebetændelse
1342 4	1413 "Morbus organicus cordis (Morb. org. cordis)"
1343 1	1414 Nephrolithiasis
1344 1	1415 "Ophtalmoblennorrhoea (Oftalmoblennorrhoea)"
1345 5	1416 "Osteoarthritis tuberculosa"
1346 2	1417 "Parotitis septica"
1347 39	1418 "Polyarthritis deformans"
1348 2	1419 "Sarcomatosis universalis"
1349 1	1420 Snitsår
1350 1	1421 "Tuberculosis intestinalis"
1351 1	1422 "Tuberculosis periton. ileocoecalis"
1352 1	1423 "Bronchitis efter mæslinger  (Bronchitis efter morbilli)"
1353 5	1424 "Formentlig Næringssorg"
1354 2	1425 "Melaena (Melæna)"
